ID,Test Point [V],,,,,
,1.87Va,1.87V,2.61V,4.9V,3.38V,1.07V
1,1.868 ,1.878 ,2.596 ,4.941 ,3.363 ,1.075 
2,1.872 ,1.869 ,2.599 ,4.899 ,3.368 ,1.082 
3,1.847 ,1.874 ,2.601 ,4.898 ,3.369 ,1.069 
4,1.855 ,1.869 ,2.609 ,4.916 ,3.364 ,1.070 
5,1.873 ,1.878 ,2.611 ,4.941 ,3.384 ,1.081 
6,1.867 ,1.860 ,2.597 ,4.938 ,3.380 ,1.073 
7,1.864 ,1.865 ,2.585 ,4.923 ,3.348 ,1.075 
8,1.872 ,1.871 ,2.603 ,4.927 ,3.374 ,1.075 
9,1.859 ,1.871 ,2.601 ,4.935 ,3.363 ,1.077 
10,1.861 ,1.870 ,2.608 ,4.894 ,3.363 ,1.077 
11,1.870 ,1.870 ,2.617 ,4.909 ,3.361 ,1.071 
12,1.874 ,1.882 ,2.601 ,4.888 ,3.364 ,1.070 
13,1.875 ,1.886 ,2.598 ,4.947 ,3.371 ,1.071 
14,1.872 ,1.867 ,2.594 ,4.923 ,3.363 ,1.069 
15,1.861 ,1.865 ,2.585 ,4.914 ,3.369 ,1.075 
16,1.863 ,1.870 ,2.602 ,4.902 ,3.340 ,1.074 
17,1.873 ,1.879 ,2.582 ,4.908 ,3.354 ,1.072 
18,1.878 ,1.874 ,2.616 ,4.911 ,3.356 ,1.078 
19,1.865 ,1.873 ,2.589 ,4.927 ,3.350 ,1.067 
20,1.879 ,1.866 ,2.598 ,4.865 ,3.361 ,1.064 
